::ffff:192.168.55.107 - - [01/Apr/2024:16:00:27 +0000] "DELETE /Mobius2/rtvt-2c6n4etmnk HTTP/1.1" 404 - "-" "-"
::1 - - [01/Apr/2024:16:04:13 +0000] "GET /Mobius HTTP/1.1" 400 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 Edg/122.0.0.0"
::1 - - [01/Apr/2024:16:04:13 +0000] "GET /favicon.ico HTTP/1.1" 400 - "http://localhost:7579/Mobius" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 Edg/122.0.0.0"
::1 - - [01/Apr/2024:16:04:23 +0000] "GET /Mobius/rosemary-test1 HTTP/1.1" 400 - "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 Edg/122.0.0.0"
::1 - - [01/Apr/2024:16:04:23 +0000] "GET /favicon.ico HTTP/1.1" 400 - "http://localhost:7579/Mobius/rosemary-test1" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.36 Edg/122.0.0.0"
::1 - - [01/Apr/2024:16:06:42 +0000] "POST /Mobius HTTP/1.1" 201 - "-" "-"
::1 - - [01/Apr/2024:16:06:42 +0000] "GET /Mobius HTTP/1.1" 200 - "-" "-"
::1 - - [01/Apr/2024:16:06:52 +0000] "POST /Mobius HTTP/1.1" 409 - "-" "-"
::1 - - [01/Apr/2024:16:06:52 +0000] "GET /Mobius/rtvt-8tvmrbp4t6 HTTP/1.1" 200 - "-" "-"
::1 - - [01/Apr/2024:16:06:52 +0000] "GET /Mobius/rosemary-test1 HTTP/1.1" 200 - "-" "-"
::1 - - [01/Apr/2024:16:06:52 +0000] "GET /Mobius HTTP/1.1" 200 - "-" "-"
::1 - - [01/Apr/2024:16:06:52 +0000] "GET /Mobius/rosemary-test1 HTTP/1.1" 200 - "-" "-"
::1 - - [01/Apr/2024:16:06:52 +0000] "GET /Mobius/rosemary-test1?fu=1&ty=2 HTTP/1.1" 200 - "-" "-"
::1 - - [01/Apr/2024:16:06:52 +0000] "GET /Mobius/rosemary-test1?fu=1&ty=3 HTTP/1.1" 200 - "-" "-"
::1 - - [01/Apr/2024:16:06:52 +0000] "GET /Mobius/rosemary-test1?fu=1&ty=29 HTTP/1.1" 200 - "-" "-"
::1 - - [01/Apr/2024:16:06:52 +0000] "GET /Mobius/rosemary-test1?fu=1&ty=9 HTTP/1.1" 200 - "-" "-"
::1 - - [01/Apr/2024:16:06:52 +0000] "GET /Mobius/rosemary-test1?fu=1&ty=24 HTTP/1.1" 200 - "-" "-"
::1 - - [01/Apr/2024:16:06:52 +0000] "GET /Mobius/rosemary-test1?fu=1&ty=23 HTTP/1.1" 200 - "-" "-"
::1 - - [01/Apr/2024:16:07:30 +0000] "DELETE /Mobius/rtvt-8tvmrbp4t6 HTTP/1.1" 200 - "-" "-"
::1 - - [01/Apr/2024:16:07:39 +0000] "POST /Mobius HTTP/1.1" 201 - "-" "-"
::1 - - [01/Apr/2024:16:07:39 +0000] "GET /Mobius/rosemary-test1/ae_test_1/cnt_test HTTP/1.1" 404 - "-" "-"
::1 - - [01/Apr/2024:18:12:44 +0000] "GET /Mobius/rosemary-test1/ae_test_1/cnt_test?rcn=4 HTTP/1.1" 404 - "-" "PostmanRuntime/7.37.0"
::1 - - [01/Apr/2024:18:12:54 +0000] "GET /Mobius/rosemary-test1 HTTP/1.1" 200 - "-" "PostmanRuntime/7.37.0"
::1 - - [01/Apr/2024:18:15:19 +0000] "GET /Mobius/rosemary-test1 HTTP/1.1" 200 - "-" "PostmanRuntime/7.37.0"
